img,title,console,genre,publisher,developer,critic_score,total_sales,na_sales,jp_sales,pal_sales,other_sales,release_date,last_update
/games/boxart/8536311ccc.jpg,Asteroids,2600,Shooter,Atari,Atari,,4.31,4,,0.26,0.05,1/1/1981,
/games/boxart/6174127ccc.jpg,Demon Attack,2600,Shooter,Imagic,Imagic,,2.13,1.99,,0.12,0.02,1/1/1982,
/games/boxart/6239190ccc.jpg,E.T.: The Extra Terrestrial,2600,Action,Atari,Atari,,1.97,1.84,,0.11,0.02,1/1/1982,
/games/boxart/7869614ccc.jpg,Ms. Pac-Man,2600,Puzzle,Atari,General Entertainment,,1.65,1.54,,0.1,0.02,1/1/1982,
/games/boxart/7222772ccc.jpg,Dig Dug,2600,Puzzle,Atari,Atari,,1.64,1.52,,0.1,0.02,1/1/1983,
/games/boxart/5200578ccc.jpg,River Raid,2600,Shooter,Activision,Activision,,1.6,1.49,,0.09,0.02,1/1/1982,
/games/boxart/full_8608062AmericaFrontccc.jpg,Mario Bros.,2600,Platform,Atari,Atari,,1.59,1.48,,0.09,0.02,10/1/1983,
/games/boxart/9182544ccc.jpg,Donkey Kong,2600,Platform,Coleco,Nintendo,,1.46,1.36,,0.08,0.02,1/1/1982,
/games/boxart/6285281ccc.jpg,Centipede,2600,Shooter,Atari,Atari,,1.36,1.26,,0.08,0.01,1/1/1982,
/games/boxart/1672169ccc.jpg,Pitfall II: Lost Caverns,2600,Platform,Activision,Activision,,1.31,1.22,,0.07,0.02,9/16/1983,
/games/boxart/full_3169397AmericaFrontccc.jpg,Super Street Fighter II Turbo,3DO,Fighting,Panasonic Interactive Media,Capcom,,0.09,,0.09,,,1/1/1994,
/games/boxart/full_6186689JapanFrontccc.jpg,Policenauts,3DO,Adventure,Konami,Konami,,0.06,,0.06,,,9/29/1995,
/games/boxart/full_8162186JapanFrontccc.jpg,Sotsugyou II: Neo Generation Special,3DO,Simulation,Imageworks,Shar Rock,,0.02,,0.02,,,11/22/1995,
/games/boxart/7468868ccc.jpg,Bust-A-Move,3DO,Puzzle,Panasonic Interactive Media,Taito Corporation,,0.02,,0.02,,,1/1/1995,
/games/boxart/full_7070522JapanFrontccc.jpg,Dragon Quest XI,3DS,Role-Playing,Square Enix,Square Enix,,1.82,,1.82,,,7/29/2017,1/5/2018
/games/boxart/full_6367235JapanFrontccc.jpg,Tomodachi Collection: New Life,3DS,Simulation,Nintendo,Nintendo,,1.69,,1.69,,,4/13/2013,1/6/2018
/games/boxart/full_mario-amp-sonic-at-the-london-2012-olympic-games_588AmericaFront.jpg,Mario & Sonic at the London 2012 Olympic Games,3DS,Sports,Sega,Sega,6.5,1.19,0.18,0.27,0.66,0.08,2/14/2012,
/games/boxart/full_5236311AmericaFrontccc.jpg,Dragon Quest VIII: Journey of the Cursed King,3DS,Role-Playing,Nintendo,Level 5 / Armor Project,8.8,1.15,0.14,0.88,0.11,0.02,1/20/2017,1/7/2018
/games/boxart/full_lego-star-wars-iii-the-clone-wars_987AmericaFront.jpg,LEGO Star Wars III: The Clone Wars,3DS,Action,LucasArts,Traveller's Tales,6.7,1.14,0.61,,0.44,0.09,3/27/2011,
/games/boxart/full_sonic-generations_949AmericaFront.jpg,Sonic Generations,3DS,Platform,Sega,Sonic Team,6.3,1.06,0.44,0.01,0.52,0.08,11/22/2011,
/games/boxart/full_232092AmericaFrontccc.jpeg,Lego Marvel Super Heroes: Universe in Peril,3DS,Action,Warner Bros. Interactive Entertainment,TT Fusion,,1.05,0.42,0.04,0.5,0.08,10/22/2013,1/4/2018
/games/boxart/full_pilotwings-resort_187AmericaFront.jpg,PilotWings Resort,3DS,Simulation,Nintendo,Monster Games,6.9,0.96,0.4,0.13,0.36,0.07,3/27/2011,
/games/boxart/full_1294257AmericaFrontccc.png,Harvest Moon 3D: A New Beginning,3DS,Simulation,Natsume,Marvelous,8.2,0.95,0.41,0.31,0.18,0.06,11/6/2012,1/7/2018
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
